indicatorcode,indicatorname,topic,type,uniquevisitors,pageviews,maybedisagg,derived,disaggregation,primary,estimatetypemodeledornot,i,sum_obs,mean_obs_pc,max_obs_pc,year_max,year_min,avg_year_max,avg_year_min,avg_year_avg,cy_cov,cy_cov1960,cy_cov1970,cy_cov1980,cy_cov1990,cy_cov2000,cy_cov2010
fb.cbk.dptr.p3,"Depositors with commercial banks (per 1,000 adults)",Financial Sector: Access,Primary,1016,1959,0,0,0,1,,FB.CBK.DPTR.P3,1090,5.023041475,14,2017,2004,2016.3726,2006.5,2011.4427,0.083717361,0,0,0,0,0.18387097,0.3184332
fd.ast.prvt.gd.zs,Domestic credit to private sector by banks (% of GDP),Financial Sector: Assets,Derived,3623,9094,0,1,0,0,,FD.AST.PRVT.GD.ZS,7659,35.29493088,59,2018,1960,2017.2649,1976.3729,1996.7953,0.58824885,0.35576037,0.44976959,0.54101384,0.66221195,0.80552995,0.71520734
fd.res.liqu.as.zs,Bank liquid reserves to bank assets ratio (%),Financial Sector: Assets,Primary,1896,3504,0,0,0,1,,FD.RES.LIQU.AS.ZS,2443,11.25806452,18,2018,2001,2017.7133,2001.6084,2009.6587,0.18763441,0,0,0,0,0.55668199,0.5691244
fi.res.totl.cd,"Total reserves (includes gold, current US$)",Economic Policy & Debt: Balance of payments: Reserves & other items,Primary,12438,27038,0,0,0,1,,FI.RES.TOTL.CD,8048,37.0875576,59,2018,1960,2016.9337,1973.3204,1995.1136,0.61812598,0.35529953,0.50829494,0.61013824,0.73133641,0.78986174,0.71382487
fi.res.totl.dt.zs,Total reserves (% of total external debt),Economic Policy & Debt: Balance of payments: Reserves & other items,Derived,2351,4551,0,1,0,0,,FI.RES.TOTL.DT.ZS,4201,19.359447,47,2017,1971,2015.9646,1979.6814,1997.8218,0.32265747,0,0.25990784,0.35898617,0.44239631,0.48202765,0.39262673
fi.res.totl.mo,Total reserves in months of imports,Economic Policy & Debt: Balance of payments: Reserves & other items,Derived,2421,5764,0,1,0,0,,FI.RES.TOTL.MO,5900,27.18894009,59,2018,1960,2016.6857,1983.2971,1999.9769,0.45314899,0.015668202,0.2202765,0.52073735,0.60414749,0.70552993,0.65253454
fi.res.xgld.cd,Total reserves minus gold (current US$),Economic Policy & Debt: Balance of payments: Reserves & other items,Primary,1726,4014,0,0,0,1,,FI.RES.XGLD.CD,8048,37.0875576,59,2018,1960,2016.9337,1973.3204,1995.1136,0.61812598,0.35529953,0.50829494,0.61013824,0.73133641,0.78986174,0.71382487
fm.ast.cgov.zg.m3,Claims on central government (annual growth as % of broad money),Financial Sector: Assets,Derived,552,753,0,1,0,0,,FM.AST.CGOV.ZG.M3,7386,34.03686636,58,2018,1961,2017.1326,1973.0302,1995.0347,0.56728113,0.34285712,0.47926268,0.55944699,0.65253454,0.73917049,0.63041472
fm.ast.domo.zg.m3,Claims on other sectors of the domestic economy (annual growth as % of broad money),Financial Sector: Assets,Derived,495,700,0,1,0,0,,FM.AST.DOMO.ZG.M3,2252,10.37788018,17,2018,2002,2017.5874,2002.8182,2010.1938,0.17296466,0,0,0,0,0.48525345,0.55253452
fm.ast.doms.cn,Net domestic credit (current LCU),Financial Sector: Assets,Primary,1650,2994,0,0,0,1,,FM.AST.DOMS.CN,7888,36.35023041,59,2018,1960,2017.2487,1975.1405,1996.1565,0.60583717,0.38479263,0.49723503,0.56958526,0.67142856,0.80092168,0.71105987
fm.ast.nfrg.cn,Net foreign assets (current LCU),Financial Sector: Assets,Primary,2894,6481,0,0,0,1,,FM.AST.NFRG.CN,7920,36.49769585,59,2018,1960,2017.2594,1975.0109,1996.0963,0.6082949,0.38801843,0.49953917,0.5723502,0.67096776,0.80506915,0.71382487
fm.ast.prvt.zg.m3,Claims on private sector (annual growth as % of broad money),Financial Sector: Assets,Derived,566,919,0,1,0,0,,FM.AST.PRVT.ZG.M3,7373,33.97695853,58,2018,1961,2017.1265,1972.976,1995.0341,0.56628263,0.34470046,0.48202765,0.55714285,0.65069127,0.73548388,0.62764978
fm.lbl.bmny.cn,Broad money (current LCU),Financial Sector: Monetary holdings (liabilities),Primary,3060,7045,0,0,0,1,,FM.LBL.BMNY.CN,7604,35.04147465,59,2018,1960,2017.0602,1971.8132,1994.3884,0.58402461,0.38940093,0.4981567,0.5746544,0.67235023,0.74285716,0.62672812
fm.lbl.bmny.gd.zs,Broad money (% of GDP),Financial Sector: Monetary holdings (liabilities),Derived,7061,17438,0,1,0,0,,FM.LBL.BMNY.GD.ZS,7293,33.60829493,59,2018,1960,2017,1973.5602,1995.2476,0.56013823,0.34331799,0.44746545,0.54331797,0.66221195,0.74147463,0.62304145
fm.lbl.bmny.ir.zs,Broad money to total reserves ratio,Financial Sector: Monetary holdings (liabilities),Derived,814,1443,0,1,0,0,,FM.LBL.BMNY.IR.ZS,6748,31.09677419,59,2018,1960,2016.8981,1974.4076,1995.6021,0.51827955,0.27281106,0.42534563,0.51705068,0.62073731,0.68894011,0.58479261
fm.lbl.bmny.zg,Broad money growth (annual %),Financial Sector: Monetary holdings (liabilities),Derived,3219,8023,0,1,0,0,,FM.LBL.BMNY.ZG,7423,34.20737327,58,2018,1961,2017.0602,1972.8132,1994.8828,0.5701229,0.34470046,0.48755759,0.56774193,0.65668201,0.73870969,0.62534559
fp.cpi.totl,Consumer price index (2010 = 100),Financial Sector: Exchange rates & prices,Primary,17949,44692,0,0,0,1,,FP.CPI.TOTL,7775,35.82949309,59,2018,1960,2017.5598,1976.076,1996.8669,0.59715819,0.35714287,0.46175116,0.55391705,0.68479264,0.79953915,0.72580642
fp.cpi.totl.zg,"Inflation, consumer prices (annual %)",Financial Sector: Exchange rates & prices,Primary,81123,219654,0,0,0,1,,FP.CPI.TOTL.ZG,7667,35.33179724,59,2018,1960,2017.5621,1976.8757,1997.261,0.58886331,0.34285715,0.45345622,0.5419355,0.67281103,0.79262674,0.72949308
fp.wpi.totl,Wholesale price index (2010 = 100),Financial Sector: Exchange rates & prices,Primary,2584,4913,0,0,0,1,,FP.WPI.TOTL,1649,7.599078341,59,2018,1960,2000.9814,1971.3148,1986.1508,0.1266513,0.10921659,0.1470046,0.17926267,0.1437788,0.10737327,0.073271886
fr.inr.dpst,Deposit interest rate (%),Financial Sector: Interest rates,Derived,8990,19409,0,1,0,0,,FR.INR.DPST,4378,20.17511521,58,2018,1960,2016.9534,1988.4467,2002.7482,0.33625191,0.015668202,0.07603687,0.28156683,0.46589863,0.61658984,0.56175113
fr.inr.lend,Lending interest rate (%),Financial Sector: Interest rates,Primary,22695,48473,0,0,0,1,,FR.INR.LEND,4331,19.95852535,59,2018,1960,2017.0896,1987.9724,2002.5299,0.33264208,0.029953917,0.081566818,0.28525347,0.44101381,0.60875577,0.54930872
fr.inr.lndp,"Interest rate spread (lending rate minus deposit rate, %)",Financial Sector: Interest rates,Derived,6408,14595,0,1,0,0,,FR.INR.LNDP,3797,17.49769585,58,2018,1960,2016.9197,1989.8832,2003.4456,0.29162827,0.007373272,0.05437788,0.23225807,0.38709676,0.55622119,0.51244241
fr.inr.rinr,Real interest rate (%),Financial Sector: Interest rates,Derived,33149,84350,0,1,0,0,,FR.INR.RINR,4206,19.38248848,58,2018,1961,2017.0344,1988.8828,2002.9674,0.32304147,0.024884792,0.076036863,0.2562212,0.42764977,0.6078341,0.54562211
fr.inr.risk,"Risk premium on lending (lending rate minus treasury bill rate, %)",Financial Sector: Interest rates,Derived,2530,4784,0,1,0,0,,FR.INR.RISK,2265,10.43778802,59,2018,1960,2016.7059,1990.447,2003.6407,0.17396313,0.022119816,0.039631337,0.12304147,0.22534563,0.33364055,0.29999998
fs.ast.cgov.gd.zs,"Claims on central government, etc. (% GDP)",Financial Sector: Assets,Derived,1024,1604,0,1,0,0,,FS.AST.CGOV.GD.ZS,7591,34.98156682,59,2018,1960,2017.2217,1976.681,1996.9292,0.58302611,0.34377879,0.44239631,0.53686637,0.65990782,0.80368662,0.71152073
fs.ast.domo.gd.zs,Claims on other sectors of the domestic economy (% of GDP),Financial Sector: Assets,Derived,983,1485,0,1,0,0,,FS.AST.DOMO.GD.ZS,2703,12.4562212,18,2018,2001,2017.642,2001.9382,2009.7882,0.20760369,0,0,0,0,0.60921657,0.63640553
fs.ast.doms.gd.zs,Domestic credit provided by financial sector (% of GDP),Financial Sector: Assets,Derived,7393,16489,0,1,0,0,,FS.AST.DOMS.GD.ZS,7586,34.95852535,59,2018,1960,2017.1892,1976.681,1996.9103,0.58264208,0.34055299,0.44654378,0.54101384,0.66129035,0.79953915,0.7069124
fs.ast.prvt.gd.zs,Domestic credit to private sector (% of GDP),Financial Sector: Assets,Derived,12494,32363,0,1,0,0,,FS.AST.PRVT.GD.ZS,7624,35.13364055,59,2018,1960,2017.2433,1976.5189,1996.8544,0.58556068,0.3516129,0.45023042,0.54009217,0.65852535,0.80138248,0.71152073
fx.own.totl.40.zs,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",Financial Sector: Access,Derived,535,845,0,1,0,0,,FX.OWN.TOTL.40.ZS,418,1.926267281,3,2017,2011,2016.637,2011.5542,2014.0956,0.032104455,0,0,0,0,0,0.19262673
fx.own.totl.60.zs,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",Financial Sector: Access,Derived,231,381,0,1,0,0,,FX.OWN.TOTL.60.ZS,418,1.926267281,3,2017,2011,2016.637,2011.5542,2014.0956,0.032104455,0,0,0,0,0,0.19262673
fx.own.totl.fe.zs,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Financial Sector: Access,Derived,219,433,0,1,0,0,,FX.OWN.TOTL.FE.ZS,427,1.967741935,3,2017,2011,2016.6013,2011.3607,2013.981,0.032795701,0,0,0,0,0,0.1967742
fx.own.totl.ma.zs,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Financial Sector: Access,Derived,138,252,0,1,0,0,,FX.OWN.TOTL.MA.ZS,427,1.967741935,3,2017,2011,2016.6013,2011.3607,2013.981,0.032795701,0,0,0,0,0,0.1967742
fx.own.totl.ol.zs,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",Financial Sector: Access,Derived,210,396,0,1,0,0,,FX.OWN.TOTL.OL.ZS,427,1.967741935,3,2017,2011,2016.6013,2011.3607,2013.981,0.032795701,0,0,0,0,0,0.1967742
fx.own.totl.pl.zs,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",Financial Sector: Access,Derived,57,80,0,1,0,0,,FX.OWN.TOTL.PL.ZS,426,1.963133641,3,2017,2011,2016.6013,2011.3798,2013.9905,0.032718893,0,0,0,0,0,0.19631337
fx.own.totl.so.zs,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",Financial Sector: Access,Derived,231,364,0,1,0,0,,FX.OWN.TOTL.SO.ZS,426,1.963133641,3,2017,2011,2016.6013,2011.3798,2013.9905,0.032718893,0,0,0,0,0,0.19631337
fx.own.totl.yg.zs,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Financial Sector: Access,Derived,137,218,0,1,0,0,,FX.OWN.TOTL.YG.ZS,427,1.967741935,3,2017,2011,2016.6013,2011.3607,2013.981,0.032795701,0,0,0,0,0,0.1967742
fx.own.totl.zs,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Financial Sector: Access,Derived,1813,4132,0,1,0,0,,FX.OWN.TOTL.ZS,427,1.967741935,3,2017,2011,2016.6013,2011.3607,2013.981,0.032795701,0,0,0,0,0,0.1967742
gb.xpd.rsdv.gd.zs,Research and development expenditure (% of GDP),Infrastructure: Technology,Primary,33380,88128,0,0,0,1,,GB.XPD.RSDV.GD.ZS,1808,8.331797235,22,2017,1996,2014.0068,2000.2808,2007.1423,0.13886328,0,0,0,0.11843318,0.41474655,0.30000001
gc.ast.totl.cn,Net acquisition of financial assets (current LCU),Public Sector: Government finance: Deficit & financing,Primary,142,232,0,0,0,1,,GC.AST.TOTL.CN,1962,9.041474654,44,2018,1970,2012.8472,1998.382,2005.9313,0.15069124,0,0.003686636,0.005069125,0.21336405,0.33640555,0.34562212
gc.ast.totl.gd.zs,Net acquisition of financial assets (% of GDP),Public Sector: Government finance: Deficit & financing,Derived,714,1222,0,1,0,0,,GC.AST.TOTL.GD.ZS,1952,8.995391705,44,2018,1970,2013.1267,1998.5564,2006.1477,0.14992319,0,0.003686636,0.005069125,0.20875576,0.33640555,0.34562212
gc.dod.totl.cn,"Central government debt, total (current LCU)",Public Sector: Government finance: Deficit & financing,Derived,4142,8012,0,1,0,0,,GC.DOD.TOTL.CN,1279,5.894009217,28,2017,1970,2009.303,1995.3434,2002.3578,0.098233491,0,0.000921659,0.00046083,0.2313364,0.19170506,0.16497695
gc.dod.totl.gd.zs,"Central government debt, total (% of GDP)",Public Sector: Government finance: Deficit & financing,Derived,27490,67678,0,1,0,0,,GC.DOD.TOTL.GD.ZS,1278,5.889400922,28,2017,1970,2009.303,1995.4142,2002.3669,0.098156683,0,0.000921659,0.00046083,0.23087558,0.19170506,0.16497695
gc.lbl.totl.cn,"Net incurrence of liabilities, total (current LCU)",Public Sector: Government finance: Deficit & financing,Primary,119,213,0,0,0,1,,GC.LBL.TOTL.CN,2448,11.28110599,46,2018,1972,2012.2635,1994.3513,2003.4954,0.18801844,0,0.093548387,0.12903225,0.21935484,0.33778802,0.34838709
gc.lbl.totl.gd.zs,"Net incurrence of liabilities, total (% of GDP)",Public Sector: Government finance: Deficit & financing,Derived,426,908,0,1,0,0,,GC.LBL.TOTL.GD.ZS,2425,11.17511521,46,2018,1972,2012.5273,1994.5616,2003.718,0.18625192,0,0.09078341,0.12534562,0.21520737,0.33778802,0.34838709
gc.nfn.totl.cn,Net investment in nonfinancial assets (current LCU),Public Sector: Government finance: Deficit & financing,Primary,878,1761,0,0,0,1,,GC.NFN.TOTL.CN,3602,16.59907834,45,2017,1972,2015.1019,1990.9745,2003.2531,0.27665129,0,0.14884792,0.20967741,0.36313364,0.51612902,0.42211983
gc.nfn.totl.gd.zs,Net investment in nonfinancial assets (% of GDP),Public Sector: Government finance: Deficit & financing,Derived,3036,6822,0,1,0,0,,GC.NFN.TOTL.GD.ZS,3570,16.4516129,45,2017,1972,2015.1019,1991.4395,2003.386,0.27419356,0,0.14562212,0.20276497,0.35852534,0.51612902,0.42211983
gc.nld.totl.cn,Net lending (+) / net borrowing (-) (current LCU),Public Sector: Government finance: Deficit & financing,Primary,556,998,0,0,0,1,,GC.NLD.TOTL.CN,3712,17.10599078,46,2018,1972,2015.4908,1991.5521,2003.7374,0.28509983,0,0.14746544,0.20552996,0.36543778,0.50138247,0.49078342
gc.nld.totl.gd.zs,Net lending (+) / net borrowing (-) (% of GDP),Public Sector: Government finance: Deficit & financing,Derived,1705,4348,0,1,0,0,,GC.NLD.TOTL.GD.ZS,3681,16.96313364,46,2018,1972,2015.4908,1991.8344,2003.8441,0.2827189,0,0.14470047,0.19861752,0.3608295,0.50138247,0.49078342
gc.rev.gotr.cn,Grants and other revenue (current LCU),Public Sector: Government finance: Revenue,Derived,260,505,0,1,0,0,,GC.REV.GOTR.CN,3582,16.50691244,46,2018,1972,2013.7468,1989.8798,2001.8418,0.27511519,0,0.17741935,0.24193548,0.3608295,0.42534563,0.44516128
gc.rev.gotr.zs,Grants and other revenue (% of revenue),Public Sector: Government finance: Revenue,Derived,832,1240,0,1,0,0,,GC.REV.GOTR.ZS,3499,16.12442396,46,2018,1972,2013.7643,1990.2292,2002.0383,0.26874039,0,0.16728111,0.22626728,0.35529953,0.42211983,0.44147465
gc.rev.socl.cn,Social contributions (current LCU),Public Sector: Government finance: Revenue,Primary,328,575,0,0,0,1,,GC.REV.SOCL.CN,2719,12.52995392,46,2017,1972,2012.958,1989.2437,2001.2665,0.20883256,0,0.12580645,0.16958526,0.29723501,0.34377879,0.31658986
gc.rev.socl.zs,Social contributions (% of revenue),Public Sector: Government finance: Revenue,Derived,926,1688,0,1,0,0,,GC.REV.SOCL.ZS,2683,12.3640553,46,2017,1972,2013.1187,1989.2543,2001.4066,0.20606759,0,0.12442397,0.16728111,0.2875576,0.34055299,0.31658986
gc.rev.xgrt.cn,"Revenue, excluding grants (current LCU)",Public Sector: Government finance: Revenue,Derived,780,1825,0,1,0,0,,GC.REV.XGRT.CN,4021,18.52995392,46,2018,1972,2015.3953,1990.1377,2002.9048,0.30883256,0,0.16958526,0.22857143,0.41105992,0.53225809,0.51152074
gc.rev.xgrt.gd.zs,"Revenue, excluding grants (% of GDP)",Public Sector: Government finance: Revenue,Derived,3471,7944,0,1,0,0,,GC.REV.XGRT.GD.ZS,3980,18.34101382,46,2018,1972,2015.3953,1990.4551,2003.0354,0.30568355,0,0.16267282,0.22165899,0.40599078,0.53225809,0.51152074
gc.tax.expt.cn,Taxes on exports (current LCU),Public Sector: Government finance: Revenue,Disaggregation,260,523,0,0,1,0,,GC.TAX.EXPT.CN,1354,6.239631336,46,2018,1972,2006.4231,1991.0577,1998.6976,0.10399386,0,0.078801841,0.1,0.15253456,0.14331797,0.14930876
gc.tax.expt.zs,Taxes on exports (% of tax revenue),Public Sector: Government finance: Revenue,Derived,1208,1945,0,1,0,0,,GC.TAX.EXPT.ZS,1346,6.202764977,46,2018,1972,2006.4135,1991.1443,1998.729,0.10337941,0,0.07695853,0.099539168,0.15115207,0.14331797,0.14930876
gc.tax.gsrv.cn,Taxes on goods and services (current LCU),Public Sector: Government finance: Revenue,Disaggregation,1448,2371,0,0,1,0,,GC.TAX.GSRV.CN,3910,18.01843318,46,2018,1972,2015.2303,1990.6606,2003.0554,0.30030721,0,0.16129032,0.218894,0.40691245,0.51474655,0.5
gc.tax.gsrv.rv.zs,Taxes on goods and services (% of revenue),Public Sector: Government finance: Revenue,Derived,682,1324,0,1,0,0,,GC.TAX.GSRV.RV.ZS,3859,17.78341014,46,2018,1972,2015.2303,1990.7939,2003.1545,0.29639018,0,0.15806451,0.21336405,0.3953917,0.51152074,0.5
gc.tax.gsrv.va.zs,Taxes on goods and services (% value added of industry and services),Public Sector: Government finance: Revenue,Derived,873,1465,0,1,0,0,,GC.TAX.GSRV.VA.ZS,3297,15.19354839,46,2017,1972,2015.095,1993.6075,2004.4801,0.2532258,0,0.084792629,0.12119815,0.33870968,0.4981567,0.47649771
gc.tax.impt.cn,Customs and other import duties (current LCU),Public Sector: Government finance: Revenue,Primary,947,2301,0,0,0,1,,GC.TAX.IMPT.CN,3432,15.8156682,46,2018,1972,2012.8589,1990.589,2001.7705,0.26359448,0,0.15345623,0.21013825,0.36589861,0.44470045,0.40737328
gc.tax.impt.zs,Customs and other import duties (% of tax revenue),Public Sector: Government finance: Revenue,Derived,3513,7090,0,1,0,0,,GC.TAX.IMPT.ZS,3425,15.78341014,46,2018,1972,2012.8589,1990.6442,2001.7936,0.26305684,0,0.15161291,0.21013825,0.36451614,0.44470045,0.40737328
gc.tax.intt.cn,Taxes on international trade (current LCU),Public Sector: Government finance: Revenue,Disaggregation,835,1399,0,0,1,0,,GC.TAX.INTT.CN,3614,16.65437788,46,2018,1972,2013.5272,1990.594,2002.1267,0.27757296,0,0.159447,0.21198156,0.38617513,0.47603688,0.43179724
gc.tax.intt.rv.zs,Taxes on international trade (% of revenue),Public Sector: Government finance: Revenue,Derived,1988,3717,0,1,0,0,,GC.TAX.INTT.RV.ZS,3563,16.41935484,46,2018,1972,2013.4969,1990.7273,2002.1947,0.27365592,0,0.1562212,0.20645161,0.37465438,0.47281107,0.43179724
gc.tax.othr.cn,Other taxes (current LCU),Public Sector: Government finance: Revenue,Derived,214,263,0,1,0,0,,GC.TAX.OTHR.CN,3505,16.15207373,46,2018,1972,2014.7059,1990.6863,2002.6526,0.26920122,0,0.159447,0.21935484,0.3580645,0.44101381,0.43732721
gc.tax.othr.rv.zs,Other taxes (% of revenue),Public Sector: Government finance: Revenue,Derived,993,1473,0,1,0,0,,GC.TAX.OTHR.RV.ZS,3421,15.76497696,46,2018,1972,2014.5555,1990.9739,2002.7385,0.26274961,0,0.15207374,0.20737328,0.34884793,0.43456221,0.43364057
gc.tax.totl.cn,Tax revenue (current LCU),Public Sector: Government finance: Revenue,Primary,3390,6827,0,0,0,1,,GC.TAX.TOTL.CN,4062,18.71889401,46,2018,1972,2015.3953,1990.0659,2002.8335,0.31198156,0,0.17050691,0.23410138,0.42073733,0.5354839,0.51105994
gc.tax.totl.gd.zs,Tax revenue (% of GDP),Public Sector: Government finance: Revenue,Derived,24627,62405,0,1,0,0,,GC.TAX.TOTL.GD.ZS,4021,18.52995392,46,2018,1972,2015.3953,1990.3832,2002.9641,0.30883256,0,0.16359447,0.22718894,0.41566819,0.5354839,0.51105994
gc.tax.ypkg.cn,"Taxes on income, profits and capital gains (current LCU)",Public Sector: Government finance: Revenue,Disaggregation,1731,3049,0,0,1,0,,GC.TAX.YPKG.CN,3939,18.15207373,46,2018,1972,2015.2744,1990.5061,2002.9934,0.30253455,0,0.16175115,0.218894,0.41244239,0.52857143,0.49354839
gc.tax.ypkg.rv.zs,"Taxes on income, profits and capital gains (% of revenue)",Public Sector: Government finance: Revenue,Derived,1810,3887,0,1,0,0,,GC.TAX.YPKG.RV.ZS,3892,17.93548387,46,2018,1972,2015.2744,1990.6158,2003.08,0.29892474,0,0.16036867,0.21336405,0.40092167,0.52534562,0.49354839
gc.tax.ypkg.zs,"Taxes on income, profits and capital gains (% of total taxes)",Public Sector: Government finance: Revenue,Derived,2625,5516,0,1,0,0,,GC.TAX.YPKG.ZS,3938,18.14746544,46,2018,1972,2015.2744,1990.5122,2002.9965,0.30245775,0,0.16175115,0.218894,0.41198155,0.52857143,0.49354839
gc.xpn.comp.cn,Compensation of employees (current LCU),Public Sector: Government finance: Expense,Primary,1458,2808,0,0,0,1,,GC.XPN.COMP.CN,3789,17.46082949,46,2018,1972,2015.406,1991.1151,2003.4841,0.29101384,0,0.14147465,0.19354838,0.3921659,0.51843315,0.50046086
gc.xpn.comp.zs,Compensation of employees (% of expense),Public Sector: Government finance: Expense,Derived,1048,2016,0,1,0,0,,GC.XPN.COMP.ZS,3691,17.00921659,46,2018,1972,2015.6281,1991.9695,2004.0383,0.28348693,0,0.13364056,0.18433179,0.36774194,0.51474655,0.50046086
gc.xpn.gsrv.cn,Goods and services expense (current LCU),Public Sector: Government finance: Expense,Primary,515,829,0,0,0,1,,GC.XPN.GSRV.CN,3796,17.49308756,46,2018,1972,2015.3879,1991.0546,2003.4347,0.29155147,0,0.14470047,0.19723502,0.39170507,0.51705068,0.49861753
gc.xpn.gsrv.zs,Goods and services expense (% of expense),Public Sector: Government finance: Expense,Derived,282,464,0,1,0,0,,GC.XPN.GSRV.ZS,3699,17.04608295,46,2018,1972,2015.6097,1991.8842,2003.9895,0.2841014,0,0.13686636,0.18801843,0.36774194,0.51336408,0.49861753
gc.xpn.intp.cn,Interest payments (current LCU),Public Sector: Government finance: Expense,Primary,1423,2675,0,0,0,1,,GC.XPN.INTP.CN,3833,17.66359447,46,2018,1972,2015.183,1990.3597,2002.9418,0.29439324,0,0.15529954,0.21520737,0.39124423,0.51152074,0.49308756
gc.xpn.intp.rv.zs,Interest payments (% of revenue),Public Sector: Government finance: Expense,Derived,3479,8050,0,1,0,0,,GC.XPN.INTP.RV.ZS,3805,17.53456221,46,2018,1972,2015.183,1990.4269,2002.9924,0.29224271,0,0.15529954,0.21336405,0.38248849,0.50921661,0.49308756
gc.xpn.intp.zs,Interest payments (% of expense),Public Sector: Government finance: Expense,Derived,1309,2551,0,1,0,0,,GC.XPN.INTP.ZS,3694,17.02304147,46,2018,1972,2015.4049,1991.5092,2003.6511,0.28371736,0,0.1437788,0.20092165,0.36313364,0.50230414,0.49216589
gc.xpn.othr.cn,Other expense (current LCU),Public Sector: Government finance: Expense,Derived,104,140,0,1,0,0,,GC.XPN.OTHR.CN,2443,11.25806452,28,2018,1970,2015.7533,1998.7933,2007.5118,0.18763441,0,0.000921659,0,0.26313365,0.41612902,0.44562212
gc.xpn.othr.zs,Other expense (% of expense),Public Sector: Government finance: Expense,Derived,406,540,0,1,0,0,,GC.XPN.OTHR.ZS,2409,11.10138249,28,2018,1990,2015.745,1998.9329,2007.5587,0.18502304,0,0,0,0.25852534,0.40967742,0.44193548
gc.xpn.totl.cn,Expense (current LCU),Public Sector: Government finance: Expense,Primary,1335,2353,0,0,0,1,,GC.XPN.TOTL.CN,3818,17.59447005,46,2018,1972,2015.6145,1991.5482,2003.7919,0.29324117,0,0.14746544,0.20921659,0.37557605,0.52027649,0.50691247
gc.xpn.totl.gd.zs,Expense (% of GDP),Public Sector: Government finance: Expense,Derived,10069,21138,0,1,0,0,,GC.XPN.TOTL.GD.ZS,3787,17.4516129,46,2018,1972,2015.6145,1991.8253,2003.8939,0.29086021,0,0.14470047,0.20230414,0.37096775,0.52027649,0.50691247
gc.xpn.trft.cn,Subsidies and other transfers (current LCU),Public Sector: Government finance: Expense,Derived,695,1404,0,1,0,0,,GC.XPN.TRFT.CN,2973,13.70046083,46,2018,1970,2015.8258,1995.8064,2006.0718,0.22834101,0,0.016589861,0.082488477,0.32442397,0.47050691,0.47603688
gc.xpn.trft.zs,Subsidies and other transfers (% of expense),Public Sector: Government finance: Expense,Derived,1084,2617,0,1,0,0,,GC.XPN.TRFT.ZS,2930,13.50230415,46,2018,1972,2015.8182,1996.1104,2006.1342,0.22503841,0,0.015668202,0.082027651,0.31612903,0.4640553,0.47235024
gf.xpd.budg.zs,Primary government expenditures as a proportion of original approved budget (%),Public Sector: Government finance,Primary,318,694,0,0,0,1,,GF.XPD.BUDG.ZS,691,3.184331797,11,2017,2004,2013.7142,2007.5333,2010.6217,0.053072199,0,0,0,0,0.11152074,0.20691244
hd.hci.ovrl,Human capital index (HCI) (scale 0-1),Public Sector: Policy & institutions,Primary,6424,13612,0,0,0,1,,HD.HCI.OVRL,157,0.723502304,1,2017,2017,2017,2017,2017,0.012058373,0,0,0,0,0,0.072350234
hd.hci.ovrl.fe,"Human capital index (HCI), female (scale 0-1)",Public Sector: Policy & institutions,Disaggregation,534,860,0,0,1,0,,HD.HCI.OVRL.FE,127,0.585253456,1,2017,2017,2017,2017,2017,0.009754225,0,0,0,0,0,0.058525346
hd.hci.ovrl.lb,"Human capital index (HCI), lower bound (scale 0-1)",Public Sector: Policy & institutions,Disaggregation,186,312,0,0,1,0,,HD.HCI.OVRL.LB,157,0.723502304,1,2017,2017,2017,2017,2017,0.012058373,0,0,0,0,0,0.072350234
hd.hci.ovrl.lb.fe,"Human capital index (HCI), female, lower bound (scale 0-1)",Public Sector: Policy & institutions,Disaggregation,75,108,0,0,1,0,,HD.HCI.OVRL.LB.FE,127,0.585253456,1,2017,2017,2017,2017,2017,0.009754225,0,0,0,0,0,0.058525346
hd.hci.ovrl.lb.ma,"Human capital index (HCI), male, lower bound (scale 0-1)",Public Sector: Policy & institutions,Disaggregation,72,105,0,0,1,0,,HD.HCI.OVRL.LB.MA,126,0.580645161,1,2017,2017,2017,2017,2017,0.009677419,0,0,0,0,0,0.058064517
hd.hci.ovrl.ma,"Human capital index (HCI), male (scale 0-1)",Public Sector: Policy & institutions,Disaggregation,285,457,0,0,1,0,,HD.HCI.OVRL.MA,126,0.580645161,1,2017,2017,2017,2017,2017,0.009677419,0,0,0,0,0,0.058064517
hd.hci.ovrl.ub,"Human capital index (HCI), upper bound (scale 0-1)",Public Sector: Policy & institutions,Disaggregation,215,392,0,0,1,0,,HD.HCI.OVRL.UB,157,0.723502304,1,2017,2017,2017,2017,2017,0.012058373,0,0,0,0,0,0.072350234
